### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 00:21:45] Loading new learner LearnerClassifCWB
[2021-08-02 00:21:45] Loading new learner LearnerClassifHCWB
[2021-08-02 00:21:45] Loading new learner
[2021-08-02 00:21:45] Loading tasks
[2021-08-02 00:21:48] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=16]
### [bt]: Generating problem instance for problem 'spam-fold4' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem 'spam-fold4' for job 16 (seed = 31431) ...
DEBUG [00:21:49.918] [mlr3]  Skip subsetting of task 'spam' 
DEBUG [00:21:50.001] [mlr3]  Calling train method of Learner 'bin_cwb_nb' on task 'spam' with 3682 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.66  oob_risk = 0.65   test_auc = 0.16   time = 2   val_auc = 0.16   
 125/5000   risk = 0.076  oob_risk = inf   test_auc = 0.1   time = 1307268   val_auc = 0.063   
 250/5000   risk = 0.039  oob_risk = inf   test_auc = 0.14   time = 2666706   val_auc = 0.096   
 375/5000   risk = 0.026  oob_risk = inf   test_auc = 0.15   time = 3961256   val_auc = 0.1   
 500/5000   risk = 0.024  oob_risk = inf   test_auc = 0.17   time = 5201486   val_auc = 0.11   
 625/5000   risk = 0.019  oob_risk = inf   test_auc = 0.17   time = 6410150   val_auc = 0.12   
 750/5000   risk = 0.018  oob_risk = inf   test_auc = 0.18   time = 7749627   val_auc = 0.13   
 875/5000   risk = 0.02  oob_risk = inf   test_auc = 0.18   time = 9024537   val_auc = 0.13   
1000/5000   risk = 0.029  oob_risk = inf   test_auc = 0.17   time = 10409696   val_auc = 0.13   
1125/5000   risk = 0.02  oob_risk = inf   test_auc = 0.17   time = 11794279   val_auc = 0.13   
1250/5000   risk = 0.03  oob_risk = inf   test_auc = 0.18   time = 13289685   val_auc = 0.14   
1375/5000   risk = 0.039  oob_risk = inf   test_auc = 0.19   time = 14618558   val_auc = 0.14   
1500/5000   risk = 0.039  oob_risk = inf   test_auc = 0.18   time = 16014835   val_auc = 0.14   
1625/5000   risk = 0.054  oob_risk = inf   test_auc = 0.18   time = 17445512   val_auc = 0.14   
1750/5000   risk = 0.065  oob_risk = inf   test_auc = 0.18   time = 18838074   val_auc = 0.14   
1875/5000   risk = 0.081  oob_risk = inf   test_auc = 0.18   time = 20293232   val_auc = 0.14   
2000/5000   risk = 0.12  oob_risk = inf   test_auc = 0.19   time = 21626382   val_auc = 0.15   
2125/5000   risk = 0.13  oob_risk = inf   test_auc = 0.2   time = 23041449   val_auc = 0.16   
2250/5000   risk = 0.17  oob_risk = inf   test_auc = 0.2   time = 24493917   val_auc = 0.16   
2375/5000   risk = 0.23  oob_risk = inf   test_auc = 0.19   time = 25796107   val_auc = 0.17   
2500/5000   risk = 0.27  oob_risk = inf   test_auc = 0.19   time = 27277889   val_auc = 0.17   
2625/5000   risk = 0.33  oob_risk = inf   test_auc = 0.18   time = 28822518   val_auc = 0.16   
2750/5000   risk = 0.51  oob_risk = inf   test_auc = 0.18   time = 30254971   val_auc = 0.16   
2875/5000   risk = 0.37  oob_risk = inf   test_auc = 0.19   time = 31767599   val_auc = 0.16   
3000/5000   risk = 0.48  oob_risk = inf   test_auc = 0.2   time = 33305181   val_auc = 0.16   
3125/5000   risk = 0.72  oob_risk = inf   test_auc = 0.21   time = 34875668   val_auc = 0.17   
3250/5000   risk = 0.69  oob_risk = inf   test_auc = 0.22   time = 36402543   val_auc = 0.18   
3375/5000   risk = 0.8  oob_risk = inf   test_auc = 0.22   time = 37903168   val_auc = 0.18   
